A1101,English,Physics,Chemistry,Mathematics,Computer Science,,,,,125000
A1102,English,Physics,Chemistry,Mathematics,Physical Education,,,,,125000
B1103,English,Physics,Chemistry,Biology,Mathematics,,,,,125000
B1104,English,Physics,Chemistry,Biology,Physical Education,,,,,125000
B1105,English,Physics,Chemistry,Biology,Mass Media,,,,,125000
B1106,English,Physics,Chemistry,Biology,Psychology,,,,,115000
C1107,English,History,Psychology,Economics,Physical Education,,,,,105000
C1108,English,History,Psychology,Economics,Mass Media,,,,,105000
D1109,English,Accountancy,Buisness Studies,Economics,Mass Media,,,,,105000
D1110,English,Accountancy,Buisness Studies,Economics,Physical Education,,,,,100000
D1111,English,Accountancy,Buisness Studies,Economics,Applied Maths,,,,,100000
