1334-57,2023-2024,UT-1,15,0,16,0,17,0,19,0,14,0
9780-18,2023-2024,UT-1,17,0,15,0,16,0,17,0,11,0
5491-20,2023-2024,UT-1,16,0,17,0,15,0,18,0,10,0
3502-27,2023-2024,UT-1,15,0,16,0,17,0,19,0,14,0
3407-96,2023-2024,UT-1,17,0,15,0,16,0,17,0,11,0
4207-33,2023-2024,UT-1,16,0,17,0,15,0,18,0,10,0
1111111,2023-2024,UT-1,15,0,16,0,17,0,19,0,14,0
6012-78,2023-2024,UT-1,17,0,15,0,16,0,17,0,11,0
9350-27,2023-2024,UT-1,16,0,17,0,15,0,18,0,10,0
6357-08,2023-2024,UT-1,15,0,16,0,17,0,19,0,14,0
1243-56,2023-2024,UT-1,17,0,15,0,16,0,17,0,11,0
1334-57,2023-2024,UT-2,15,0,16,0,17,0,19,0,14,0
9780-18,2023-2024,UT-2,17,0,15,0,16,0,17,0,11,0
5491-20,2023-2024,UT-2,16,0,17,0,15,0,18,0,10,0
3502-27,2023-2024,UT-2,15,0,16,0,17,0,19,0,14,0
3407-96,2023-2024,UT-2,17,0,15,0,16,0,17,0,11,0
4207-33,2023-2024,UT-2,16,0,17,0,15,0,18,0,10,0
1111111,2023-2024,UT-2,15,0,16,0,17,0,19,0,14,0
6012-78,2023-2024,UT-2,17,0,15,0,16,0,17,0,11,0
9350-27,2023-2024,UT-2,16,0,17,0,15,0,18,0,10,0
6357-08,2023-2024,UT-2,15,0,16,0,17,0,19,0,14,0
1243-56,2023-2024,UT-2,17,0,15,0,16,0,17,0,11,0
1334-57,2023-2024,Half-Yearly,65,20,66,20,67,20,69,20,64,20
9780-18,2023-2024,Half-Yearly,67,17,65,17,66,17,67,17,66,17
5491-20,2023-2024,Half-Yearly,66,16,67,16,65,16,68,16,60,16
3502-27,2023-2024,Half-Yearly,65,20,66,20,67,20,69,20,64,20
3407-96,2023-2024,Half-Yearly,67,17,65,17,66,17,67,17,66,17
4207-33,2023-2024,Half-Yearly,66,16,67,16,65,16,68,16,60,16
1111111,2023-2024,Half-Yearly,65,20,66,20,67,20,69,20,64,20
6012-78,2023-2024,Half-Yearly,67,17,65,17,66,17,67,17,66,17
9350-27,2023-2024,Half-Yearly,66,16,67,16,65,16,68,16,60,16
6357-08,2023-2024,Half-Yearly,65,20,66,20,67,20,69,20,64,20
1243-56,2023-2024,Half-Yearly,67,17,65,17,66,17,67,17,66,17
1334-57,2023-2024,UT-3,15,0,16,0,17,0,19,0,14,0
9780-18,2023-2024,UT-3,17,0,15,0,16,0,17,0,11,0
5491-20,2023-2024,UT-3,16,0,17,0,15,0,18,0,10,0
3502-27,2023-2024,UT-3,15,0,16,0,17,0,19,0,14,0
3407-96,2023-2024,UT-3,17,0,15,0,16,0,17,0,11,0
4207-33,2023-2024,UT-3,16,0,17,0,15,0,18,0,10,0
1111111,2023-2024,UT-3,15,0,16,0,17,0,19,0,14,0
6012-78,2023-2024,UT-3,17,0,15,0,16,0,17,0,11,0
9350-27,2023-2024,UT-3,16,0,17,0,15,0,18,0,10,0
6357-08,2023-2024,UT-3,15,0,16,0,17,0,19,0,14,0
1243-56,2023-2024,UT-3,17,0,15,0,16,0,17,0,11,0
1334-57,2023-2024,Annual Exam,65,20,66,20,67,20,69,20,64,20
9780-18,2023-2024,Annual Exam,67,17,65,17,66,17,67,17,66,17
5491-20,2023-2024,Annual Exam,66,16,67,16,65,16,68,16,60,16
3502-27,2023-2024,Annual Exam,65,20,66,20,67,20,69,20,64,20
3407-96,2023-2024,Annual Exam,67,17,65,17,66,17,67,17,66,17
4207-33,2023-2024,Annual Exam,66,16,67,16,65,16,68,16,60,16
1111111,2023-2024,Annual Exam,65,20,66,20,67,20,69,20,64,20
6012-78,2023-2024,Annual Exam,67,17,65,17,66,17,67,17,66,17
9350-27,2023-2024,Annual Exam,66,16,67,16,65,16,68,16,60,16
6357-08,2023-2024,Annual Exam,65,20,66,20,67,20,69,20,64,20
1243-56,2023-2024,Annual Exam,67,17,65,17,66,17,67,17,66,17
1334-57,2024-2025,UT-1,35,0,36,0,37,0,39,0,34,0
9780-18,2024-2025,UT-1,37,0,35,0,36,0,37,0,33,0
5491-20,2024-2025,UT-1,36,0,37,0,35,0,38,0,30,0
3502-27,2024-2025,UT-1,35,0,36,0,37,0,39,0,34,0
3407-96,2024-2025,UT-1,37,0,35,0,36,0,37,0,33,0
4207-33,2024-2025,UT-1,36,0,37,0,35,0,38,0,30,0
1111111,2024-2025,UT-1,35,0,36,0,37,0,39,0,34,0
6012-78,2024-2025,UT-1,37,0,35,0,36,0,37,0,33,0
9350-27,2024-2025,UT-1,36,0,37,0,35,0,38,0,30,0
6357-08,2024-2025,UT-1,35,0,36,0,37,0,39,0,34,0
1243-56,2024-2025,UT-1,37,0,35,0,36,0,37,0,33,0
1334-57,2024-2025,UT-2,35,0,36,0,37,0,39,0,34,0
9780-18,2024-2025,UT-2,37,0,35,0,36,0,37,0,33,0
5491-20,2024-2025,UT-2,36,0,37,0,35,0,38,0,30,0
3502-27,2024-2025,UT-2,35,0,36,0,37,0,39,0,34,0
3407-96,2024-2025,UT-2,37,0,35,0,36,0,37,0,33,0
4207-33,2024-2025,UT-2,36,0,37,0,35,0,38,0,30,0
1111111,2024-2025,UT-2,35,0,36,0,37,0,39,0,34,0
6012-78,2024-2025,UT-2,37,0,35,0,36,0,37,0,33,0
9350-27,2024-2025,UT-2,36,0,37,0,35,0,38,0,30,0
6357-08,2024-2025,UT-2,35,0,36,0,37,0,39,0,34,0
1243-56,2024-2025,UT-2,37,0,35,0,36,0,37,0,33,0
1334-57,2024-2025,Half-Yearly,65,20,66,20,67,20,69,20,64,20
9780-18,2024-2025,Half-Yearly,67,17,65,17,66,17,67,17,66,17
5491-20,2024-2025,Half-Yearly,66,16,67,16,65,16,68,16,60,16
3502-27,2024-2025,Half-Yearly,65,20,66,20,67,20,69,20,64,20
3407-96,2024-2025,Half-Yearly,67,17,65,17,66,17,67,17,66,17
4207-33,2024-2025,Half-Yearly,66,16,67,16,65,16,68,16,60,16
1111111,2024-2025,Half-Yearly,65,20,66,20,67,20,69,20,64,20
6012-78,2024-2025,Half-Yearly,67,17,65,17,66,17,67,17,66,17
9350-27,2024-2025,Half-Yearly,66,16,67,16,65,16,68,16,60,16
6357-08,2024-2025,Half-Yearly,65,20,66,20,67,20,69,20,64,20
1243-56,2024-2025,Half-Yearly,67,17,65,17,66,17,67,17,66,17
1334-57,2024-2025,Preboard-1,65,0,66,0,67,0,69,0,64,0
9780-18,2024-2025,Preboard-1,67,0,65,0,66,0,67,0,66,0
5491-20,2024-2025,Preboard-1,66,0,67,0,65,0,68,0,60,0
3502-27,2024-2025,Preboard-1,65,0,66,0,67,0,69,0,64,0
3407-96,2024-2025,Preboard-1,67,0,65,0,66,0,67,0,66,0
4207-33,2024-2025,Preboard-1,66,0,67,0,65,0,68,0,60,0
1111111,2024-2025,Preboard-1,65,0,66,0,67,0,69,0,64,0
6012-78,2024-2025,Preboard-1,67,0,65,0,66,0,67,0,66,0
9350-27,2024-2025,Preboard-1,66,0,67,0,65,0,68,0,60,0
6357-08,2024-2025,Preboard-1,65,0,66,0,67,0,69,0,64,0
1243-56,2024-2025,Preboard-1,67,0,65,0,66,0,67,0,66,0
1334-57,2024-2025,Preboard-2,65,20,66,20,67,20,69,20,64,20
9780-18,2024-2025,Preboard-2,67,17,65,17,66,17,67,17,66,17
5491-20,2024-2025,Preboard-2,66,16,67,16,65,16,68,16,60,16
3502-27,2024-2025,Preboard-2,65,20,66,20,67,20,69,20,64,20
3407-96,2024-2025,Preboard-2,67,17,65,17,66,17,67,17,66,17
4207-33,2024-2025,Preboard-2,66,16,67,16,65,16,68,16,60,16
1111111,2024-2025,Preboard-2,65,20,66,20,67,20,69,20,64,20
6012-78,2024-2025,Preboard-2,67,17,65,17,66,17,67,17,66,17
9350-27,2024-2025,Preboard-2,66,16,67,16,65,16,68,16,60,16
6357-08,2024-2025,Preboard-2,65,20,66,20,67,20,69,20,64,20
1243-56,2024-2025,Preboard-2,67,17,65,17,66,17,67,17,66,17
