12,A,2024-09-19,Chemistry,Redox Reaction,https://forms.gle/332ciLDmiGD47xa78
12,A,2024-09-20,Physics,Electric field,https://forms.gle/332ciLDmiGD47xa78
12,A,2024-09-21,Computer,File handling,https://forms.gle/332ciLDmiGD47xa78
12,A,2024-09-22,Chemistry,Coordinate compounds,https://forms.gle/332ciLDmiGD47xa78
12,A,2024-09-23,Chemistry,Haloalkanes,https://forms.gle/332ciLDmiGD47xa78
12,A,2024-09-24,Physics,Capacitor,https://forms.gle/332ciLDmiGD47xa78
12,A,2024-09-25,Chemistry,Haloarenes,https://forms.gle/332ciLDmiGD47xa78
12,A,2024-09-26,Maths,Limits,https://forms.gle/332ciLDmiGD47xa78
12,A,2024-09-27,Computer,Networks,https://forms.gle/332ciLDmiGD47xa78
12,A,2024-09-28,Maths,Matrices,https://forms.gle/332ciLDmiGD47xa78
12,A,2024-09-29,Maths,Relations,https://forms.gle/332ciLDmiGD47xa78
12,A,2024-09-30,Physics,Biot-Savarts Law,https://forms.gle/332ciLDmiGD47xa78
12,A,2024-10-01,English,Lady Or the Tiger,https://forms.gle/332ciLDmiGD47xa78
12,A,2024-04-01,English,Tree of Life,https://forms.gle/332ciLDmiGD47xa79
12,A,2024-04-02,English,The third level,https://forms.gle/332ciLDmiGD47xa80
12,B,2024-04-03,Chemistry,Coordinate compounds,https://forms.gle/332ciLDmiGD47xa78
12,B,2024-04-04,Physics,Haloalkanes,https://forms.gle/332ciLDmiGD47xa78
12,B,2024-04-05,Biology,Capacitor,https://forms.gle/332ciLDmiGD47xa78
12,B,2024-04-06,Physical Education,Haloarenes,https://forms.gle/332ciLDmiGD47xa78
12,B,2024-04-07,Chemistry,Limits,https://forms.gle/332ciLDmiGD47xa78
12,B,2024-04-08,Physics,Networks,https://forms.gle/332ciLDmiGD47xa78
12,B,2024-04-09,Chemistry,Matrices,https://forms.gle/332ciLDmiGD47xa78
12,B,2024-04-10,Physics,Relations,https://forms.gle/332ciLDmiGD47xa78
12,B,2024-04-11,Biology,Biot-Savarts Law,https://forms.gle/332ciLDmiGD47xa78
12,B,2024-04-12,Chemistry,Redox Reaction,https://forms.gle/332ciLDmiGD47xa78
12,B,2024-04-13,Maths,Electric field,https://forms.gle/332ciLDmiGD47xa78
12,B,2024-04-14,Physical Education,File handling,https://forms.gle/332ciLDmiGD47xa78
12,C,2024-04-15,Economics,Coordinate compounds,https://forms.gle/332ciLDmiGD47xa78
12,C,2024-04-16,Accounts,Haloalkanes,https://forms.gle/332ciLDmiGD47xa78
12,C,2024-04-17,Accounts,Capacitor,https://forms.gle/332ciLDmiGD47xa78
12,C,2024-04-18,English,Tiger King,https://forms.gle/332ciLDmiGD47xa78
12,C,2024-04-19,Buisess Studies,Limits,https://forms.gle/332ciLDmiGD47xa78
12,C,2024-04-20,Economics,Networks,https://forms.gle/332ciLDmiGD47xa78
12,C,2024-04-21,Psychology,Matrices,https://forms.gle/332ciLDmiGD47xa78
12,C,2024-04-22,Applied Mathematics,Relations,https://forms.gle/332ciLDmiGD47xa78
12,C,2024-04-23,Buisess Studies,Biot-Savarts Law,https://forms.gle/332ciLDmiGD47xa78
12,C,2024-04-24,Psychology,Redox Reaction,https://forms.gle/332ciLDmiGD47xa78
12,C,2024-04-25,Economics,Electric field,https://forms.gle/332ciLDmiGD47xa78
12,C,2024-04-26,Applied Mathematics,File handling,https://forms.gle/332ciLDmiGD47xa78
12,D,2024-04-27,Economics,Coordinate compounds,https://forms.gle/332ciLDmiGD47xa78
12,D,2024-04-28,History,Haloalkanes,https://forms.gle/332ciLDmiGD47xa78
12,D,2024-04-29,Physical Education,Capacitor,https://forms.gle/332ciLDmiGD47xa78
12,D,2024-04-30,Mass Media,Haloarenes,https://forms.gle/332ciLDmiGD47xa78
12,D,2024-05-01,History,Limits,https://forms.gle/332ciLDmiGD47xa78
12,D,2024-05-02,English,The Roadside Stand,https://forms.gle/332ciLDmiGD47xa78
12,D,2024-05-03,English,Hunting Mavis,https://forms.gle/332ciLDmiGD47xa78
12,D,2024-05-04,Economics,Relations,https://forms.gle/332ciLDmiGD47xa78
12,D,2024-05-05,Physical Education,Biot-Savarts Law,https://forms.gle/332ciLDmiGD47xa78
12,D,2024-05-06,Mass Media,Redox Reaction,https://forms.gle/332ciLDmiGD47xa78
12,D,2024-05-07,History,Electric field,https://forms.gle/332ciLDmiGD47xa78
12,D,2024-05-08,History,File handling,https://forms.gle/332ciLDmiGD47xa78
12,D,2024-05-09,English,Coordinate compounds,https://forms.gle/332ciLDmiGD47xa78
